Dates;Category;Descript;DayOfWeek;PdDistrict;Resolution;Address;X;Y
5/13/2015 23:53;WARRANTS;WARRANT ARREST;Wednesday;NORTHERN;ARREST, BOOKED;OAK ST / LAGUNA ST;-122.4258917;37.7745986
5/13/2015 23:53;OTHER OFFENSES;TRAFFIC VIOLATION ARREST;Wednesday;NORTHERN;ARREST, BOOKED;OAK ST / LAGUNA ST;-122.4258917;37.7745986
5/13/2015 23:33;OTHER OFFENSES;TRAFFIC VIOLATION ARREST;Wednesday;NORTHERN;ARREST, BOOKED;VANNESS AV / GREENWICH ST;-122.424363;37.80041432
5/13/2015 23:30;LARCENY/THEFT;GRAND THEFT FROM LOCKED AUTO;Wednesday;NORTHERN;NONE;1500 Block of LOMBARD ST;-122.4269953;37.80087263
5/13/2015 23:30;LARCENY/THEFT;GRAND THEFT FROM LOCKED AUTO;Wednesday;PARK;NONE;100 Block of BRODERICK ST;-122.4387376;37.77154117
5/13/2015 23:30;LARCENY/THEFT;GRAND THEFT FROM UNLOCKED AUTO;Wednesday;INGLESIDE;NONE;0 Block of TEDDY AV;-122.4032524;37.7134307
5/13/2015 23:30;VEHICLE THEFT;STOLEN AUTOMOBILE;Wednesday;INGLESIDE;NONE;AVALON AV / PERU AV;-122.423327;37.72513804
5/13/2015 23:30;VEHICLE THEFT;STOLEN AUTOMOBILE;Wednesday;BAYVIEW;NONE;KIRKWOOD AV / DONAHUE ST;-122.3712743;37.72756407
5/13/2015 23:00;LARCENY/THEFT;GRAND THEFT FROM LOCKED AUTO;Wednesday;RICHMOND;NONE;600 Block of 47TH AV;-122.508194;37.77660126
5/13/2015 23:00;LARCENY/THEFT;GRAND THEFT FROM LOCKED AUTO;Wednesday;CENTRAL;NONE;JEFFERSON ST / LEAVENWORTH ST;-122.4190877;37.80780155
5/13/2015 22:58;LARCENY/THEFT;PETTY THEFT FROM LOCKED AUTO;Wednesday;CENTRAL;ARREST, CITED;JEFFERSON ST / LEAVENWORTH ST;-122.4190877;37.80780155
5/13/2015 22:30;OTHER OFFENSES;MISCELLANEOUS INVESTIGATION;Wednesday;TARAVAL;NONE;0 Block of ESCOLTA WY;-122.4879831;37.73766665
5/13/2015 22:30;VANDALISM;MALICIOUS MISCHIEF, VANDALISM OF VEHICLES;Wednesday;TENDERLOIN;NONE;TURK ST / JONES ST;-122.4124143;37.7830038
5/13/2015 22:06;LARCENY/THEFT;GRAND THEFT FROM LOCKED AUTO;Wednesday;NORTHERN;NONE;FILLMORE ST / GEARY BL;-122.4329146;37.78435334
5/13/2015 22:00;NON-CRIMINAL;FOUND PROPERTY;Wednesday;BAYVIEW;NONE;200 Block of WILLIAMS AV;-122.3977444;37.72993469
5/13/2015 22:00;NON-CRIMINAL;FOUND PROPERTY;Wednesday;BAYVIEW;NONE;0 Block of MENDELL ST;-122.3836915;37.74318904
5/13/2015 22:00;ROBBERY;ROBBERY, ARMED WITH A KNIFE;Wednesday;TENDERLOIN;NONE;EDDY ST / JONES ST;-122.4125974;37.78393203
5/13/2015 21:55;ASSAULT;AGGRAVATED ASSAULT WITH BODILY FORCE;Wednesday;INGLESIDE;NONE;GODEUS ST / MISSION ST;-122.4216815;37.7428222
5/13/2015 21:40;OTHER OFFENSES;TRAFFIC VIOLATION;Wednesday;BAYVIEW;ARREST, BOOKED;MENDELL ST / HUDSON AV;-122.3864009;37.73898349
5/13/2015 21:30;NON-CRIMINAL;FOUND PROPERTY;Wednesday;TENDERLOIN;NONE;100 Block of JONES ST;-122.4122498;37.78255633
5/13/2015 21:30;LARCENY/THEFT;GRAND THEFT FROM LOCKED AUTO;Wednesday;INGLESIDE;NONE;200 Block of EVELYN WY;-122.4493891;37.7426688
5/13/2015 21:17;ROBBERY;ROBBERY, BODILY FORCE;Wednesday;INGLESIDE;NONE;1600 Block of VALENCIA ST;-122.4202721;37.74733163
5/13/2015 21:11;WARRANTS;WARRANT ARREST;Wednesday;TENDERLOIN;NONE;100 Block of JONES ST;-122.4122498;37.78255633
5/13/2015 21:11;NON-CRIMINAL;STAY AWAY OR COURT ORDER, NON-DV RELATED;Wednesday;TENDERLOIN;NONE;100 Block of JONES ST;-122.4122498;37.78255633
5/13/2015 21:10;LARCENY/THEFT;GRAND THEFT FROM LOCKED AUTO;Wednesday;NORTHERN;ARREST, CITED;FILLMORE ST / LOMBARD ST;-122.4360492;37.79984122
5/13/2015 21:00;NON-CRIMINAL;LOST PROPERTY;Wednesday;TENDERLOIN;NONE;300 Block of OFARRELL ST;-122.4105093;37.78604322
